position,team_name,country_code,apiFootballTeamId,total_points,total_value,trend,national_association_points,matches_played,teams_in_comp,teams_still_in,competition,2022,2023,2024,2025,2026
95,Başakşehir,TUR,564,19.5,19.5,STABLE,9.625,14,5,3,UEFA Conference League,,12,,5,2.5
96,Shamrock Rovers,IRL,652,19.375,19.375,STABLE,3.469,18,4,0,UEFA Conference League,2.5,2.5,1.5,9.875,3
97,AEK Larnaca,CYP,614,19.25,19.25,STABLE,6.989,14,4,3,UEFA Conference League,4,4,2,1.5,11.75
98,Bologna,ITA,500,19,19,STABLE,18.425,14,7,7,UEFA Europa League,,,11,8,
99,Vitória SC,POR,224,18.75,18.75,STABLE,10.533,8,5,4,UEFA Europa League,,,1.5,15.25,
100,Olimpija,SVN,677,18.375,18.375,STABLE,4.569,12,4,1,UEFA Conference League,2,1.5,4,8.375,2.5
101,Genk,BEL,742,18,18,STABLE,11.55,18,5,3,UEFA Europa League,4,,7,,7
102,Dynamo Kyiv,UKR,572,17.5,17.5,STABLE,4.882,26,4,1,UEFA Conference League,5,3,2.5,3,4
103,CFR Cluj,ROU,2246,17.5,17.5,STABLE,5,12,4,1,UEFA Conference League,3,8,1.5,2.5,2.5
104,Maccabi Haifa,ISR,4195,17.5,17.5,STABLE,5.5,20,4,1,UEFA Conference League,3,6,5,1.5,2
105,Rayo Vallecano,ESP,728,12.5,17.203,STABLE,17.203,6,8,8,UEFA Conference League,,,,,
106,Celta,ESP,538,6,17.203,STABLE,17.203,6,8,8,UEFA Europa League,,,,,
107,Rijeka,CRO,561,17.125,17.125,STABLE,5.181,6,4,2,UEFA Conference League,2.5,1.5,2.5,2.5,8.125
108,Nice,FRA,84,17,17,STABLE,15.121,24,7,7,UEFA Europa League,,14,,3,0
109,Brest,FRA,106,16.75,16.75,STABLE,13.035,8,7,7,UEFA Conference League,,,,,
110,Mainz,GER,164,12,16.595,STABLE,16.595,6,7,7,UEFA Conference League,,,,,
111,Brighton,ENG,51,16,16,STABLE,12.275,8,9,9,UEFA Conference League,,,,16,
112,Strasbourg,FRA,95,15.5,15.5,STABLE,15.121,6,7,7,UEFA Conference League,,,,,
113,Beşiktaş,TUR,549,15.5,15.5,STABLE,9.625,20,5,3,UEFA Conference League,4,,3,6,2.5
114,Girona,ESP,547,8,14.991,STABLE,14.991,8,8,8,UEFA Conference League,,,,,
115,APOEL,CYP,557,14.75,14.75,STABLE,4.707,6,4,3,UEFA Conference League,,,2.5,9.75,
116,Heidenheim,GER,180,8.125,14.223,STABLE,14.223,6,8,8,UEFA Conference League,,,,,
117,Hoffenheim,GER,167,7,14.223,STABLE,14.223,8,8,8,UEFA Conference League,,,,,
118,KuPS Kuopio,FIN,1165,14,14,STABLE,2.8,6,4,1,UEFA Conference League,2.5,2,1.5,1.5,6.5
119,HJK,FIN,649,14,14,STABLE,2.8,24,4,1,UEFA Conference League,4,3,2.5,3,1.5
120,H. Beer-Sheva,ISR,563,14,14,STABLE,5.5,6,4,1,UEFA Conference League,2.5,6,2,2,1.5
121,Drita,KOS,14281,13.625,13.625,STABLE,2.798,6,4,1,UEFA Conference League,1.5,1.5,1.5,2.5,6.625
122,L. Red Imps,GIB,667,13.5,13.5,STABLE,1.425,12,3,0,UEFA Conference League,2.5,1.5,2,2.5,5
123,Twente,NED,415,13.5,13.5,STABLE,11.59,8,6,6,UEFA Conference League,,2.5,2.5,8.5,0.5
124,Zrinjski,BIH,588,13.25,13.25,STABLE,2.694,12,4,1,UEFA Conference League,2.5,2.5,3,2.5,5.25
125,Go Ahead Eagles,NED,410,5.5,13.152,STABLE,13.152,6,6,6,UEFA Europa League,,,1.5,4,
126,Utrecht,NED,207,1,13.152,STABLE,13.152,6,6,6,UEFA Europa League,,,,,
127,Borac,BIH,3364,13.125,13.125,STABLE,2.694,8,4,1,UEFA Conference League,1.5,1,1.5,8.125,1
128,Lens,FRA,116,12.5,13.035,STABLE,13.035,6,7,7,UEFA Conference League,,,10,2.5,
129,Malmö,SWE,375,13,13,STABLE,5.925,26,4,1,UEFA Europa League,5,3,,4,1
130,Leicester,ENG,46,13,13,STABLE,4.2,12,9,9,UEFA Conference League,13,,,,
131,Cercle Brugge,BEL,741,12.75,12.75,STABLE,10.17,8,5,3,UEFA Conference League,,,,,
132,Santa Clara,POR,227,5,12.653,STABLE,12.653,0,5,4,UEFA Conference League,2.5,,,,2.5
133,RFS,LVA,21382,12.5,12.5,STABLE,2.575,14,4,0,UEFA Conference League,2,2.5,1.5,4,2.5
134,Servette,SUI,2184,12.5,12.5,STABLE,6.9,8,5,3,UEFA Conference League,1.5,6,,2.5,2.5
135,Astana,KAZ,562,12.5,12.5,STABLE,2.75,12,4,1,UEFA Conference League,2,1.5,3,4,2
136,Antwerp,BEL,740,12.5,12.5,STABLE,7.04,12,5,3,UEFA Conference League,4,2.5,6,,
137,Sivasspor,TUR,1002,12.5,12.5,STABLE,3.7,8,5,3,UEFA Conference League,2.5,,10,,
138,Breiðablik,ISL,276,12,12,STABLE,3.304,12,4,0,UEFA Conference League,2,2,2.5,1.5,4
139,Žalgiris,LTU,586,12,12,STABLE,1.55,6,4,0,UEFA Conference League,2.5,4,2.5,1.5,1.5
140,Zorya Luhansk,UKR,599,12,12,STABLE,2.8,12,5,1,UEFA Conference League,5,2,,5,
141,Spartak Moskva,RUS,558,12,12,STABLE,1.06,6,5,0,UEFA Conference League,12,,,,
142,Víkingur R.,ISL,278,11.75,11.75,STABLE,3.304,6,4,0,UEFA Conference League,2,2,1,6.75,2
143,Charleroi,BEL,736,1.5,11.55,STABLE,11.55,0,5,3,UEFA Conference League,1.5,,,,
144,Hearts,SCO,254,11.5,11.5,STABLE,5.41,12,5,2,UEFA Conference League,,4,2.5,5,
145,Kairat Almaty,KAZ,664,11,11,STABLE,2.75,12,4,1,UEFA Champions League,2.5,1.5,,7,
146,Brann,NOR,319,11,11,STABLE,7.717,6,5,2,UEFA Europa League,,2.5,2.5,6,
147,Elfsborg,SWE,21693,11,11,STABLE,4.925,8,4,1,UEFA Conference League,2.5,1.5,,7,
148,Trabzonspor,TUR,998,11,11,STABLE,8.16,6,5,3,UEFA Europa League,2.5,6,,2.5,
149,Shkëndija,MKD,609,10.875,10.875,STABLE,1.552,6,4,1,UEFA Conference League,1.5,2,1,1,5.375
150,Noah,ARM,3684,10.75,10.75,STABLE,2.912,12,4,1,UEFA Conference League,1,,3,3,6.75
